rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,Solidity,EIPs,6333,2461,Solidity,https://github.com/ethereum/EIPs,ethereum,508,2021-05-04T18:11:26Z,The Ethereum Improvement Proposal repository
2,Solidity,learning-solidity,952,359,Solidity,https://github.com/willitscale/learning-solidity,willitscale,5,2021-03-05T12:02:44Z,The companion to the Youtube tutorials
3,Solidity,sushiswap,816,650,Solidity,https://github.com/sushiswap/sushiswap,sushiswap,16,2021-04-30T00:50:47Z,Sushiswap smart contracts 🍣 📝
4,Solidity,not-so-smart-contracts,762,135,Solidity,https://github.com/crytic/not-so-smart-contracts,crytic,9,2020-04-24T15:54:02Z,Examples of Solidity security issues
5,Solidity,compound-protocol,673,478,Solidity,https://github.com/compound-finance/compound-protocol,compound-finance,27,2021-05-03T03:22:39Z,The Compound On-Chain Protocol
6,Solidity,solidity-stringutils,621,247,Solidity,https://github.com/Arachnid/solidity-stringutils,Arachnid,25,2021-01-15T14:23:26Z,Basic string utilities for Solidity
7,Solidity,yam-protocol,597,262,Solidity,https://github.com/yam-finance/yam-protocol,yam-finance,18,2020-09-29T06:24:11Z,A stablizing reserve currency protocol
8,Solidity,solidity-patterns,574,113,Solidity,https://github.com/fravoll/solidity-patterns,fravoll,0,2019-12-17T08:28:14Z,A compilation of patterns and best practices for the smart contract programming language Solidity
9,Solidity,ethereum-api,568,347,Solidity,https://github.com/provable-things/ethereum-api,provable-things,10,2020-11-15T01:26:36Z,Provable API for Ethereum smart contracts
10,Solidity,aragonOS,491,189,Solidity,https://github.com/aragon/aragonOS,aragon,49,2021-04-05T13:27:45Z,(Aragon 1) Reference implementation for aragonOS: a Solidity framework for building complex dApps and protocols
11,Solidity,defi-sdk,471,131,Solidity,https://github.com/zeriontech/defi-sdk,zeriontech,25,2021-05-04T12:00:37Z,DeFi SDK Makes Money Lego Work
12,Solidity,money-legos,411,111,Solidity,https://github.com/studydefi/money-legos,studydefi,22,2021-05-01T02:03:57Z,"💰One stop shop for Ethereum ABIs, addresses, and Solidity interfaces!"
13,Solidity,ERC223-token-standard,408,211,Solidity,https://github.com/Dexaran/ERC223-token-standard,Dexaran,7,2021-04-14T06:03:11Z,ERC223 token standard reference implementation.
14,Solidity,ethereum-examples,366,126,Solidity,https://github.com/provable-things/ethereum-examples,provable-things,6,2021-03-30T17:21:42Z,Code examples showing how to use the Provable API on Ethereum
15,Solidity,Safemoon.sol,351,320,Solidity,https://github.com/safemoonprotocol/Safemoon.sol,safemoonprotocol,48,2021-04-23T16:48:11Z,safemoon contract
16,Solidity,security-oracle-smart-contracts,332,5,Solidity,https://github.com/certikfoundation/security-oracle-smart-contracts,certikfoundation,0,2021-01-21T19:56:43Z,Smart Contracts for CertiK Security Oracle
17,Solidity,uniswap-v2-periphery,314,512,Solidity,https://github.com/Uniswap/uniswap-v2-periphery,Uniswap,20,2021-04-04T03:24:17Z,🎚 Peripheral smart contracts for interacting with Uniswap V2
18,Solidity,keep3r.network,314,104,Solidity,https://github.com/keep3r-network/keep3r.network,keep3r-network,10,2021-04-19T09:26:21Z,An incentivized keeper network for anonymous keeper and job registration
19,Solidity,yearn-protocol,310,153,Solidity,https://github.com/yearn/yearn-protocol,yearn,18,2021-04-30T06:39:01Z,Yearn smart contracts
20,Solidity,ethereum-erc721,309,131,Solidity,https://github.com/0xcert/ethereum-erc721,0xcert,9,2021-04-03T06:22:59Z,Non-fungible token implementation for Ethereum-based blockchains.
21,Solidity,dss,297,191,Solidity,https://github.com/makerdao/dss,makerdao,19,2021-04-30T16:56:49Z,Dai Stablecoin System
22,Solidity,1inchProtocol,272,128,Solidity,https://github.com/1inch/1inchProtocol,1inch,43,2021-01-15T15:53:41Z,1inch Protocol – fully on-chain DeFi aggregation protocol
23,Solidity,protocols,272,90,Solidity,https://github.com/Loopring/protocols,Loopring,14,2021-04-30T21:32:35Z,A zkRollup DEX & Payment Protocol
24,Solidity,solidity-idiosyncrasies,270,37,Solidity,https://github.com/miguelmota/solidity-idiosyncrasies,miguelmota,0,2020-11-30T02:11:40Z,"Solidity gotchas, pitfalls, limitations, and idiosyncrasies."
25,Solidity,verified-smart-contracts,249,77,Solidity,https://github.com/runtimeverification/verified-smart-contracts,runtimeverification,7,2021-04-27T18:12:17Z,Smart contracts which are formally verified
26,Solidity,MultiSigWallet,233,107,Solidity,https://github.com/ConsenSysMesh/MultiSigWallet,ConsenSysMesh,8,2020-11-10T16:26:09Z,Ethereum MultiSigWallet
27,Solidity,building-secure-contracts,219,34,Solidity,https://github.com/crytic/building-secure-contracts,crytic,23,2021-05-03T20:49:12Z,Guidelines and training material to write secure smart contracts
28,Solidity,argent-contracts,218,67,Solidity,https://github.com/argentlabs/argent-contracts,argentlabs,1,2021-05-03T14:03:52Z,Smart Contracts for Argent Wallet
29,Solidity,SWC-registry,210,66,Solidity,https://github.com/SmartContractSecurity/SWC-registry,SmartContractSecurity,15,2021-04-02T00:25:49Z,Smart Contract Weakness Classification and Test Cases
30,Solidity,erc-1155,204,116,Solidity,https://github.com/enjin/erc-1155,enjin,10,2021-03-30T12:43:25Z,ERC-1155: Smart Contract Sample Implementation
31,Solidity,flashloan-box,200,90,Solidity,https://github.com/aave/flashloan-box,aave,8,2021-05-04T06:38:00Z,A box containing all you need to get started with developing  Aave v1 flash loans
32,Solidity,basiscash-protocol,196,207,Solidity,https://github.com/Basis-Cash/basiscash-protocol,Basis-Cash,3,2021-04-07T15:50:43Z,Solidity implementation of the Basis Cash Protocol 
33,Solidity,congress,195,21,Solidity,https://github.com/cybercongress/congress,cybercongress,64,2021-04-29T06:50:59Z,Helping humanity evolve
34,Solidity,defi-bot,195,80,Solidity,https://github.com/ExtropyIO/defi-bot,ExtropyIO,3,2021-04-14T10:27:30Z,Tutorial for building DeFi arbitrage bots
35,Solidity,payment-channel,193,56,Solidity,https://github.com/mattdf/payment-channel,mattdf,2,2018-05-18T19:01:06Z,Ethereum Payment Channel in 50 lines of code
